path,classification,reason
.brain/graph-engineer/act-requirements-query-implementation.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/arithmetic-inconsistencies-resolution.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/atomize-documentary-requirements.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/baseline.json,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/canonical-map.json,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/capability-matrix-definition.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/chat-user-tenant-isolation.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/component-provenance-tracking.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/conflict-registry-construction.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/corpus-validation-90sources.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/crosswalk-tjmg-8664-2025.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/deduplicate-blocks.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/docker-secrets-fail-closed.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/documentary-checklist-readonly.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/documentary-guidance-lark.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/draft-only-creation-handoff-summary.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/drift-report.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/dual-layer-schema-definition.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/duplicates-consolidation.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/evals-hallucination-citation-abstention-metrics.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/evals-latency-cost-cache-metrics.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/evals-legal-ambiguity-abstention.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
.brain/graph-engineer/evals-pii-injection-security-suite.md,UNVERIFIED_MARKDOWN_ONLY,Unverified concurrent execution markdown/evidence artifact
